trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.1, 'e': 0.9578907814534663}",25,10,-126.57990836353734,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 3}",1
44,False,"{'a': 0.1, 'e': 0.9569328906720129}",35,0,-174.08926628001362,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.9559759577813408}",30,0,-304.26894020754855,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 5}",0
46,False,"{'a': 0.1, 'e': 0.9550199818235595}",20,8,-133.32787077459452,"{0: 5, 1: 2, 2: 1, 3: 2, 4: 2}",1
47,False,"{'a': 0.1, 'e': 0.954064961841736}",25,0,-194.32299843656193,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
48,False,"{'a': 0.1, 'e': 0.9531108968798943}",20,0,-141.88788872557538,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.9521577859830144}",20,0,-58.222176275920205,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.9512056281970314}",20,0,-76.72159638386216,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.9502544225688343}",25,0,-89.29004016686805,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.9493041681462654}",20,0,-166.20127512604415,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
53,False,"{'a': 0.1, 'e': 0.9483548639781192}",25,0,-69.64474789681182,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.947406509114141}",30,0,-160.1984915986768,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.1, 'e': 0.9464591026050269}",20,8,-47.27811353528246,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.1, 'e': 0.9455126435024219}",20,0,-167.91294322962665,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.9445671308589194}",25,0,-230.28194153082595,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
58,False,"{'a': 0.1, 'e': 0.9436225637280605}",35,0,-195.6269945618572,"{0: 18, 1: 5, 2: 9, 3: 1, 4: 2}",0
59,False,"{'a': 0.1, 'e': 0.9426789411643325}",20,0,-146.26163106932762,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
60,False,"{'a': 0.1, 'e': 0.9417362622231682}",20,0,-68.65753388258508,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.9407945259609449}",25,0,-116.13614547850482,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9398537314349841}",20,13,-16.99798459086028,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.9389138777035491}",25,10,-21.614845549376128,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.9379749638258454}",25,0,-191.99045699402757,"{0: 13, 1: 7, 2: 1, 3: 0, 4: 4}",0
65,False,"{'a': 0.1, 'e': 0.9370369888620197}",20,0,-138.9477893643616,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.9360999518731576}",20,0,-108.42660281033966,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
67,False,"{'a': 0.1, 'e': 0.9351638519212845}",25,0,-204.0679170861946,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
68,False,"{'a': 0.1, 'e': 0.9342286880693632}",30,0,-111.63328763667847,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.1, 'e': 0.9332944593812939}",20,12,-103.14927557901427,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 2}",1
70,False,"{'a': 0.1, 'e': 0.9323611649219126}",30,0,-189.83824323737787,"{0: 17, 1: 4, 2: 3, 3: 4, 4: 2}",0
71,False,"{'a': 0.1, 'e': 0.9314288037569907}",25,0,-103.21392623751466,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.9304973749532336}",20,0,-31.139631422849362,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.9295668775782804}",20,0,-200.30383074563872,"{0: 7, 1: 6, 2: 2, 3: 2, 4: 3}",0
74,False,"{'a': 0.1, 'e': 0.9286373107007021}",30,10,-117.3691590941184,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",1
75,False,"{'a': 0.1, 'e': 0.9277086733900014}",30,0,-189.81116034510717,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
76,False,"{'a': 0.1, 'e': 0.9267809647166114}",25,0,-50.36330264031029,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.1, 'e': 0.9258541837518948}",25,2,-85.35769117147692,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
78,False,"{'a': 0.1, 'e': 0.9249283295681429}",20,0,-81.89226178548503,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.1, 'e': 0.9240034012385747}",25,0,-157.74840561295082,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.9230793978373362}",30,0,-106.4435080109235,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
81,False,"{'a': 0.1, 'e': 0.9221563184394989}",25,0,-106.40984525918812,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.9212341621210594}",20,0,-164.20998218781645,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
83,False,"{'a': 0.1, 'e': 0.9203129279589383}",35,19,-15.29255483882416,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.9193926150309794}",35,0,-102.8028444583926,"{0: 26, 1: 1, 2: 4, 3: 3, 4: 1}",0
85,False,"{'a': 0.1, 'e': 0.9184732224159483}",20,0,-80.61951743476243,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.1, 'e': 0.9175547491935324}",20,0,-132.38333261197235,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.9166371944443389}",25,0,-104.97915270963104,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
